,Case Number,Charge Number,Description,Statute,Level,Date
287,C2004447,2,CONVICTED FELON IN POSS OF FIREARM,39-17-1307,Felony C,05/19/2017
288,C2004447,3,RECKLESS ENDANGERMENT W/DEADLY WEAP,39-13-103,Felony C,05/19/2017
289,C2104198,1,CRIMINAL ATTEMPT-FIRST DEGREE MURDER,39-13-202,Felony A,05/03/2021
290,C2104198,2,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,05/03/2021
291,C2104198,3,UNLAWFUL CARRYING OR POSSESSION OF A WEAPON,39-17-1307,Felony B,05/03/2021
292,C2103331,1,FIRST DEGREE MURDER,39-13-202,Felony M,04/05/2021
293,C2103547,1,FALSE OFFENSE REPORT,39-16-502,Felony D,04/05/2021
294,C2103893,1,FALSE OFFENSE REPORT,39-16-502,Felony D,09/03/2019
295,C2103894,1,FAIL TO APPEAR IN MISDEMEANOR CASE,39-16-609,Misdemeanor A,07/16/2021
296,C2101483,1,FALSE OFFENSE REPORT,39-16-502,Felony D,08/13/2020
297,C2102771,1,AGGRAVATED CHILD ABUSE-CHILD U/6,39-15-402,Felony A,09/15/2020
298,C2100919,1,AGGRAVATED RAPE,39-13-502,Felony A,11/20/2020
299,C2104193,1,ESPECIALLY AGGRAVATED ROBBERY,39-13-403,Felony A,05/04/2021
300,C2104193,2,EVADING ARREST,39-16-603,Misdemeanor A,05/04/2021
301,C2102735,1,VANDALISM $1000-$2500,39-14-408,Felony E,10/07/2020
302,C2102736,1,FAIL TO APPEAR IN MISDEMEANOR CASE,39-16-609,Misdemeanor A,11/03/2020
303,C2000526,1,CRIMINAL ATTEMPT-AGGRAVATED CHILD ABUSE-U/6,39-15-402,Felony B,04/05/2019
304,C2000526,2,AGGRAVATED CHILD ABUSE-CHILD U/6,39-15-402,Felony A,04/05/2019
305,C2104195,1,AGGRAVATED ASSAULT,39-13-102,Felony C,11/29/2020
306,C2104195,2,CONVICTED FELON IN POSS OF FIREARM,39-17-1307,Felony C,11/29/2020
307,C2105422,1,THEFT OF PROPERTY $60000-$250000,39-14-103,Felony B,08/28/2020
308,C2105422,2,RESISTING OFFICIAL DETENTION,39-16-602,Misdemeanor B,08/28/2020
309,C2105423,1,AGGRAVATED ASSAULT,39-13-102,Felony C,05/04/2021
310,C2105423,2,AGGRAVATED ASSAULT,39-13-102,Felony C,05/04/2021
311,C2100338,1,FIRST DEGREE MURDER,39-13-202,Felony M,04/29/2020
312,C2100338,2,FIRST DEGREE MURDER,39-13-202,Felony M,04/29/2020
313,C2002740,1,AGGRAVATED CHILD ABUSE-CHILD U/6,39-15-402,Felony A,08/19/2019
314,C2002740,2,CHILD ABUSE/NEG U/6 YRS OLD,39-15-401,Felony E,08/19/2019
315,C2200015,1,AGGRAVATED ROBBERY,39-13-402,Felony B,07/13/2021
316,C2200016,1,AGGRAVATED ROBBERY,39-13-402,Felony B,07/10/2021
317,C2105847,3,BURGLARY OF BUILDING,39-13-1002,Felony D,12/13/2021
318,C2102517,1,AGGRAVATED BURGLARY,39-14-403,Felony C,02/25/2020
319,C2102517,2,THEFT OF PROPERTY $10000-$60000,39-14-103,Felony C,02/25/2020
320,C2102517,3,TAMPERING WITH/FABRICATING EVIDENCE,39-16-503,Felony C,02/25/2020
321,C2001939,1,BURGLARY - BUILDING,39-14-402,Felony D,04/09/2020
322,C2001939,101,PETITION TO SUSPEND REM OF SENTENCE,40-21-103,Civil Ordinances,01/12/2022
323,C2001940,1,THEFT OF PROPERTY $10000-$60000,39-14-103,Felony C,09/17/2019
324,C2001940,101,PETITION TO SUSPEND REM OF SENTENCE,40-21-103,Civil Ordinances,01/12/2022
325,C2001941,1,AGGRAVATED ASSAULT - RECKLESS,39-13-102,Felony D,03/31/2020
326,C2001941,2,THEFT OF PROPERTY $2500-$10000,39-14-103,Felony D,03/31/2020
327,C2001941,3,UNLAWFUL POSS WEAPON-PUBLIC PLACE,39-17-1307,Misdemeanor A,03/31/2020
328,C2001941,4,EVADING ARREST,39-16-603,Misdemeanor A,03/31/2020
329,C2001941,101,PETITION TO SUSPEND REM OF SENTENCE,40-21-103,Civil Ordinances,01/12/2022
330,C2105088,1,CRIMINAL ATTEMPT-FIRST DEGREE MURDER,39-13-202,Felony A,07/07/2021
331,C2105088,2,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,07/07/2021
332,C2105088,3,AGGRAVATED ASSAULT,39-13-102,Felony C,07/07/2021
333,C2100623,1,AGGRAVATED SEXUAL BATTERY,39-13-504,Felony B,12/31/2019
334,C2103347,1,CRIMINAL ATTEMPT-SECOND DEGREE MURDER,39-13-210,Felony B,02/03/2020
335,C2103347,2,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,02/03/2020
336,C2103347,3,AGGRAVATED ASSAULT,39-13-102,Felony C,02/03/2020
337,C2103347,4,AGGRAVATED ASSAULT,39-13-102,Felony C,02/03/2020
338,C2103347,5,AGGRAVATED ASSAULT,39-13-102,Felony C,02/03/2020
339,C2103347,6,CONVICTED FELON IN POSS OF FIREARM,39-17-1307,Felony C,02/03/2020
340,C2101851,1,AGGRAVATED RAPE,39-13-502,Felony A,03/01/2021
341,C2101851,2,AGGRAVATED RAPE,39-13-502,Felony A,03/01/2021
342,C2102300,1,SOLICTING SEXUAL EXPLOIT OF MINOR,39-13-529,Felony E,11/29/2016
343,C2102300,2,SEXUAL BATTERY BY AUTHORITY FIGURE,39-13-527,Felony C,11/29/2016
344,C2102300,3,SEXUAL BATTERY BY AUTHORITY FIGURE,39-13-527,Felony C,11/29/2016
345,C2102300,4,SEXUAL BATTERY BY AUTHORITY FIGURE,39-13-527,Felony C,08/01/2020
346,C2102300,5,SEXUAL BATTERY BY AUTHORITY FIGURE,39-13-527,Felony C,08/01/2020
347,C2103871,1,AGGRAVATED ASSAULT,39-13-102,Felony C,10/07/2020
348,C2103871,2,AGGRAVATED ASSAULT,39-13-102,Felony C,10/07/2020
349,C2103871,3,AGGRAVATED ASSAULT,39-13-102,Felony C,10/07/2020
350,C2103435,1,AGGRAVATED ASSAULT,39-13-102,Felony C,01/16/2021
351,C2103435,2,AGGRAVATED ASSAULT,39-13-102,Felony C,01/16/2021
352,C2006382,1,CRIMINAL ATTEMPT-FIRST DEGREE MURDER,39-13-202,Felony A,08/19/2020
353,C2006382,2,CRIMINAL ATTEMPT-FIRST DEGREE MURDER,39-13-202,Felony A,08/19/2020
354,C2006382,3,CRIMINAL ATTEMPT-FIRST DEGREE MURDER,39-13-202,Felony A,08/19/2020
355,C2006382,4,CRIMINAL ATTEMPT-FIRST DEGREE MURDER,39-13-202,Felony A,08/19/2020
356,C2006382,5,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,08/19/2020
357,C2006382,6,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,08/19/2020
358,C2006382,7,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,08/19/2020
359,C2006382,8,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,08/19/2020
360,C2100416,1,INTENTIONALLY EVADE ARREST IN AUTO,39-16-603,Felony E,08/09/2020
361,C2100416,2,POSS OF CONT SUBSTANCE MARIJUANA,39-17-418,Misdemeanor A,08/09/2020
362,C2100416,3,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,08/09/2020
363,C2100416,4,RECKLESS DRIVING,55-10-205,Misdemeanor B,08/09/2020
364,C2100417,1,POSS OF CONT SUBSTANCE MARIJUANA,39-17-418,Misdemeanor A,03/02/2020
365,C2100417,2,ASSAULT-THREAT BODILY HARM,39-13-101,Misdemeanor A,03/02/2020
366,C2100417,3,ASSAULT-THREAT BODILY HARM,39-13-101,Misdemeanor A,03/02/2020
367,C2100417,4,ASSAULT-THREAT BODILY HARM,39-13-101,Misdemeanor A,03/02/2020
368,C2100417,5,RESISTING OFFICIAL DETENTION,39-16-602,Misdemeanor B,03/02/2020
369,C2100268,1,AGGRAVATED ASSAULT,39-13-102,Felony C,11/18/2020
370,C2102587,1,CRIMINAL ATTEMPT-FIRST DEGREE MURDER,39-13-202,Felony A,07/17/2020
371,C2102587,2,ESPECIALLY AGGRAVATED KIDNAPPING,39-13-305,Felony A,07/17/2020
372,C2102587,3,ESPECIALLY AGGRAVATED KIDNAPPING,39-13-305,Felony A,07/17/2020
373,C2103201,1,RAPE OF A CHILD,39-13-522,Felony A,08/11/2018
374,C2103201,2,RAPE OF A CHILD,39-13-522,Felony A,08/11/2018
375,C2103201,3,AGGRAVATED SEXUAL BATTERY,39-13-504,Felony B,08/11/2018
376,C2103201,4,RAPE OF A CHILD,39-13-522,Felony A,08/11/2018
377,C2103201,5,RAPE OF A CHILD,39-13-522,Felony A,08/11/2018
378,C2103201,6,AGGRAVATED SEXUAL BATTERY,39-13-504,Felony B,08/11/2018
379,C2002042,1,RAPE OF A CHILD,39-13-522,Felony A,07/26/2019
380,C2002042,2,RAPE OF A CHILD,39-13-522,Felony A,07/26/2019
381,C2002042,3,ESPECIALLY AGGRAVATED SEXUAL EXPLOITATION OF MINOR,39-17-1005,Felony B,07/26/2019
382,C2102203,1,RAPE,39-13-503,Felony B,05/01/2016
383,C2102203,2,SEXUAL BATTERY BY AUTHORITY FIGURE,39-13-527,Felony C,05/01/2016
384,C2102203,3,SEXUAL BATTERY BY AUTHORITY FIGURE,39-13-527,Felony C,05/01/2017
385,15 00211-14114699,1,FIRST DEGREE MURDER,39-13-202,Felony M,04/23/2014
386,15 00211-14114699,101,APPEAL,11-11-1111,Civil Ordinances,04/23/2014
387,15 00211-14114699,102,APPEAL,11-11-1111,Civil Ordinances,11/07/2018
388,15 00211-14114699,103,PETITION FOR POST CONV RELIEF,40-30-102,Civil Ordinances,07/01/2020
389,C2103314,1,RAPE OF A CHILD,39-13-522,Felony A,12/01/2020
390,C2103314,2,AGGRAVATED SEXUAL BATTERY,39-13-504,Felony B,12/01/2020
391,C2104742,1,CRIMINAL ATTEMPT-FIRST DEGREE MURDER,39-13-202,Felony A,06/23/2021
392,C2104742,2,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,06/23/2021
393,C2101314,1,UNLAWFUL CARRYING OR POSSESSION OF A WEAPON,39-17-1307,Felony B,05/23/2020
394,C2101314,2,ASSAULT-THREAT BODILY HARM,39-13-101,Misdemeanor A,05/23/2020
395,C2101314,3,POSS OF CONT SUBSTANCE MARIJUANA,39-17-418,Misdemeanor A,05/23/2020
396,C2101314,4,EVADING ARREST,39-16-603,Misdemeanor A,05/23/2020
397,C2104403,1,CRIMINAL ATTEMPT-FIRST DEGREE MURDER,39-13-202,Felony A,05/04/2021
398,C2104403,2,CRIMINAL ATTEMPT-FIRST DEGREE MURDER,39-13-202,Felony A,05/04/2021
399,C2104403,3,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,05/04/2021
400,C2104403,4,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,05/04/2021
401,C2002411,1,AGGRAVATED ASSAULT-ACT IN CONCERT,39-13-102,Felony B,11/28/2017
402,C2002411,2,AGGRAVATED ASSAULT-ACT IN CONCERT,39-13-102,Felony B,11/28/2017
403,C2103360,1,BURGLARY - BUILDING,39-14-402,Felony D,12/11/2020
404,C2103360,2,THEFT OF MERCH LESS THAN $1000,39-14-146,Misdemeanor A,12/11/2020
405,C2103360,3,THEFT OF MERCH LESS THAN $1000,39-14-146,Misdemeanor A,12/11/2020
406,C2103359,1,BURGLARY - BUILDING,39-14-402,Felony D,03/08/2021
407,C2103359,2,THEFT OF MERCH LESS THAN $1000,39-14-146,Misdemeanor A,03/08/2021
408,C2103359,3,THEFT OF MERCH LESS THAN $1000,39-14-146,Misdemeanor A,03/08/2021
409,C2103362,1,THEFT OF MERCH LESS THAN $1000,39-14-146,Misdemeanor A,09/16/2020
410,C2103362,2,THEFT OF MERCH LESS THAN $1000,39-14-146,Misdemeanor A,09/16/2020
411,C2103361,1,THEFT OF MERCH LESS THAN $1000,39-14-146,Misdemeanor A,11/08/2020
412,C2103361,2,THEFT OF MERCH LESS THAN $1000,39-14-146,Misdemeanor A,11/08/2020
413,C2105093,1,AGGRAVATED SEXUAL BATTERY,39-13-504,Felony B,11/24/2020
414,C2006368,1,AGGRAVATED SEXUAL BATTERY,39-13-504,Felony B,01/01/2019
415,C2105211,1,RAPE,39-13-503,Felony B,10/03/2018
416,C2105211,2,RAPE,39-13-503,Felony B,02/18/2021
417,C1901726,1,AGGRAVATED CHILD ABUSE-CHILD U/6,39-15-402,Felony A,07/15/2018
418,C1901726,2,AGGRAVATED CHILD ABUSE-CHILD U/6,39-15-402,Felony A,07/15/2018
419,C1902378,1,CRIM ATT-SECOND DEGREE MURDER,39-13-210,Felony B,01/15/2019
420,C1902378,2,CRIM ATT-SECOND DEGREE MURDER,39-13-210,Felony B,10/31/2018
421,C1902378,3,AGGRAVATED ASSAULT,39-13-102,Felony C,10/31/2018
422,C1902378,4,AGGRAVATED ASSAULT,39-13-102,Felony C,10/31/2018
423,C1902378,5,CRIMINAL ATTEMPT-AGGRAVATED ROBBERY,39-13-402,Felony C,10/31/2018
424,C1902378,6,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,10/31/2018
425,C1902378,7,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,10/31/2018
426,C1902378,101,PETITION TO REVOKE SUSP SENTENCE,40-35-311,Civil-Petition,08/25/2021
427,C2103269,1,CRIMINAL ATTEMPT-FIRST DEGREE MURDER,39-13-202,Felony A,11/25/2020
428,C2103269,2,AGGRAVATED ASSAULT,39-13-102,Felony C,11/25/2020
429,C2105548,1,PETITION REVIEW MENT. EVAL/JUD DET,33-7-301,Civil Ordinances,12/10/2021
430,C1907978,1,SEXUAL BATTERY BY AUTHORITY FIGURE,39-13-527,Felony C,07/13/2019
431,C1907978,2,SEXUAL BATTERY BY AUTHORITY FIGURE,39-13-527,Felony C,07/21/2019
432,C2104890,1,FAIL TO APPEAR IN MISDEMEANOR CASE,39-16-609,Misdemeanor A,06/04/2021
433,C2104889,1,THEFT OF PROPERTY $2500-$10000,39-14-103,Felony D,01/03/2021
434,C2104889,2,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,01/03/2021
435,C2104889,3,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,01/03/2021
436,C2104889,4,LEAVE SCENE ACCIDENT-STRIKE UN VEH,55-10-104,Misdemeanor C,01/03/2021
437,C2104889,5,RECKLESS DRIVING,55-10-205,Misdemeanor B,01/03/2021
438,C1701882,1,THEFT OF PROPERTY $60000-$250000,39-14-103,Felony B,07/01/2014
439,C2100338,1,FIRST DEGREE MURDER,39-13-202,Felony M,04/29/2020
440,C2100338,2,FIRST DEGREE MURDER,39-13-202,Felony M,04/29/2020
441,C1802355,1,THEFT OF SERVICES $500-$1000.00,39-14-104,Felony E,11/21/2016
442,C2105171,1,CONVICTED FELON IN POSS OF HANDGUN,39-17-1307,Felony E,12/07/2020
443,C1803367,1,CHILD ABUSE/NEG U/8 YRS W/INJURY,39-15-401,Felony D,08/20/2017
444,C1908227,1,AGGRAVATED ASSAULT - RECKLESS,39-13-102,Felony D,07/17/2019
445,C2002875,1,AGGRAVATED ASSAULT,39-13-102,Felony C,08/21/2019
446,C2002875,101,PETITION FOR POST CONV RELIEF,40-30-102,Civil Ordinances,02/25/2021
447,C2104358,1,ASSAULT-BODILY HARM,39-13-101,Misdemeanor A,07/26/2019
448,C2104359,1,RESISTING OFFICIAL DETENTION,39-16-602,Misdemeanor B,08/23/2019
449,C2104356,1,ASSAULT-BODILY HARM,39-13-101,Misdemeanor A,07/26/2019
450,C2104357,1,ASSAULT-BODILY HARM,39-13-101,Misdemeanor A,07/26/2019
451,C2102858,1,IDENTITY THEFT,39-14-150,Felony D,09/02/2016
452,C2101392,1,AGGRAVATED RAPE,39-13-502,Felony A,12/12/2020
453,C1906381,1,RAPE OF A CHILD,39-13-522,Felony A,09/18/2017
454,C2001388,1,CHILD ABUSE AND CHILD NEGLECT OR ENDANGERMENT,39-15-401,Felony D,01/01/2018
455,C2104648,1,RECKLESS ENDANGERMENT-DEADLY WEAPON,39-13-103,Felony E,08/28/2020
456,C2101360,1,RECKLESS ENDANGERMENT,39-13-103,Misdemeanor A,07/28/2020
457,C1708756,1,THEFT OF PROPERTY $1000-$2500,39-14-103,Felony E,04/15/2014
458,C2102815,1,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,09/12/2020
459,C2102815,2,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,09/12/2020
460,C2102815,101,PETITION TO REVOKE SUSP SENTENCE,40-35-311,Civil-Petition,10/06/2021
461,C2100248,1,IDENTITY THEFT,39-14-150,Felony D,09/10/2020
462,C2100248,2,IDENTITY THEFT,39-14-150,Felony D,09/10/2020
463,C2100248,3,IDENTITY THEFT,39-14-150,Felony D,09/10/2020
464,C2100248,4,IDENTITY THEFT,39-14-150,Felony D,09/10/2020
465,C2100248,5,IDENTITY THEFT,39-14-150,Felony D,09/10/2020
466,C2100248,6,IDENTITY THEFT,39-14-150,Felony D,09/10/2020
467,C2100248,7,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,09/10/2020
468,C2100248,8,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,09/10/2020
469,C2100248,9,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,09/10/2020
470,C2100248,10,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,09/10/2020
471,C2100248,11,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,09/10/2020
472,C2100248,12,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,09/10/2020
473,C2100248,13,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,09/10/2020
474,C2100248,14,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,09/10/2020
475,C2100248,15,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,09/10/2020
476,C2100248,16,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,09/10/2020
477,C2100248,18,THEFT OF PROPERTY $1000-$2500,39-14-103,Felony E,09/10/2020
478,C2100248,19,THEFT OF PROPERTY $1000 OR LESS,39-14-103,Misdemeanor A,09/10/2020
479,C2100248,20,THEFT OF PROPERTY $1000 OR LESS,39-14-103,Misdemeanor A,09/10/2020
480,C2100248,21,THEFT OF PROPERTY $1000 OR LESS,39-14-103,Misdemeanor A,09/10/2020
481,C2100248,22,THEFT OF PROPERTY $1000 OR LESS,39-14-103,Misdemeanor A,09/10/2020
482,C2100248,101,PETITION TO REVOKE SUSP SENTENCE,40-35-311,Civil-Petition,10/06/2021
483,C2005087,1,AGG SEXUAL EXPLOITATION OF MINOR,39-17-1004,Felony C,06/02/2020
484,C2005087,2,AGG SEXUAL EXPLOITATION OF MINOR,39-17-1004,Felony C,06/02/2020
485,C2005087,3,AGG SEXUAL EXPLOITATION OF MINOR,39-17-1004,Felony C,06/02/2020
486,C2005087,4,SEXUAL EXPLOITATION OF MINOR,39-17-1003,Felony D,06/02/2020
487,C2005087,5,SEXUAL EXPLOITATION OF MINOR,39-17-1003,Felony D,06/02/2020
488,C2005087,6,SEXUAL EXPLOITATION OF MINOR,39-17-1003,Felony D,06/02/2020
489,C2200041,1,VIOLATION OF PROBATION M,40-35-311,Civil Ordinances,01/11/2022
490,C1909967,1,CONVICTED FELON IN POSS OF HANDGUN,39-17-1307,Felony E,02/19/2019
491,C2103359,1,BURGLARY - BUILDING,39-14-402,Felony D,03/08/2021
492,C2103359,2,THEFT OF MERCH LESS THAN $1000,39-14-146,Misdemeanor A,03/08/2021
493,C2103359,3,THEFT OF MERCH LESS THAN $1000,39-14-146,Misdemeanor A,03/08/2021
494,C2103360,1,BURGLARY - BUILDING,39-14-402,Felony D,12/11/2020
495,C2103360,2,THEFT OF MERCH LESS THAN $1000,39-14-146,Misdemeanor A,12/11/2020
496,C2103360,3,THEFT OF MERCH LESS THAN $1000,39-14-146,Misdemeanor A,12/11/2020
497,C2103362,1,THEFT OF MERCH LESS THAN $1000,39-14-146,Misdemeanor A,09/16/2020
498,C2103362,2,THEFT OF MERCH LESS THAN $1000,39-14-146,Misdemeanor A,09/16/2020
499,C2103361,1,THEFT OF MERCH LESS THAN $1000,39-14-146,Misdemeanor A,11/08/2020
500,C2103361,2,THEFT OF MERCH LESS THAN $1000,39-14-146,Misdemeanor A,11/08/2020
501,C2105211,1,RAPE,39-13-503,Felony B,10/03/2018
502,C2105211,2,RAPE,39-13-503,Felony B,02/18/2021
503,C2200024,1,NOTICE OF CONVEYANCE SEIZURE,40-33-101,Civil Ordinances,01/07/2022
504,C1906369,1,ROBBERY,39-13-401,Felony C,05/28/2019
505,C1906369,101,PETITION TO REVOKE SUSP SENTENCE,40-35-311,Civil-Petition,11/01/2019
506,C1906369,102,PETITION TO REVOKE SUSP SENTENCE,40-35-311,Civil-Petition,09/16/2020
507,C1906369,103,PETITION TO SUSPEND REM OF SENTENCE,40-21-103,Civil Ordinances,01/03/2022
508,C1904291,1,BURGLARY - BUILDING,39-14-402,Felony D,08/08/2018
509,C1904291,2,THEFT OF PROPERTY $1000-$2500,39-14-103,Felony E,08/08/2018
510,C1904291,101,PETITION TO REVOKE SUSP SENTENCE,40-35-311,Civil-Petition,12/14/2020
511,C1904291,102,PETITION TO SUSPEND REM OF SENTENCE,40-21-103,Civil Ordinances,01/04/2022
512,C2000238,1,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,07/29/2019
513,C2000238,2,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,07/29/2019
514,C2000238,3,RECKLESS DRIVING,55-10-205,Misdemeanor B,07/29/2019
515,C1700214,1,AGGRAVATED BURGLARY,39-14-403,Felony C,06/20/2016
516,C1700214,2,THEFT OF PROPERTY $1000-$10000,39-14-103,Felony D,06/20/2016
517,C1700214,101,TERMINATION OF DIVERSION,NONE,Civil Ordinances,04/13/2018
518,C1700214,102,TERMINATION OF DIVERSION,NONE,Civil Ordinances,07/18/2018
519,C1700214,103,TERMINATION OF DIVERSION,NONE,Civil Ordinances,10/05/2020
520,C1902015,1,IDENTITY THEFT,39-14-150,Felony D,07/20/2018
521,C1902015,2,IDENTITY THEFT,39-14-150,Felony D,07/20/2018
522,C1902015,3,FORGERY $2500 OR LESS,39-14-114,Felony E,07/20/2018
523,C1902015,4,FORGERY $2500 OR LESS,39-14-114,Felony E,07/20/2018
524,C1902015,5,FORGERY $2500 OR LESS,39-14-114,Felony E,07/20/2018
525,C1902015,6,THEFT OF PROPERTY $1000-$2500,39-14-103,Felony E,07/20/2018
526,C1902015,101,TERMINATION OF DIVERSION,NONE,Civil Ordinances,09/09/2021
527,16 05862-16640897,1,AGGRAVATED RAPE,39-13-502,Felony A,10/18/2016
528,16 05862-16640897,2,AGGRAVATED RAPE,39-13-502,Felony A,10/18/2016
529,C2006597,1,VANDALISM $1000 OR LESS,39-14-408,Misdemeanor A,07/03/2020
530,C2104910,1,MOTION FOR FAST/SPEEDY/TRIAL/IND,11-11-1111,Civil Ordinances,11/05/2021
531,C2102245,1,ASSAULT-BODILY HARM,39-13-101,Misdemeanor A,02/14/2020
532,C2102245,2,THEFT OF PROPERTY $1000 OR LESS,39-14-103,Misdemeanor A,02/14/2020
533,C2103401,1,VANDALISM $1000 OR LESS,39-14-408,Misdemeanor A,02/23/2021
534,C2002261,1,CRIMINAL ATTEMPT-SECOND DEGREE MURDER,39-13-210,Felony B,07/16/2019
535,C2002276,1,CRIMINAL ATTEMPT-SECOND DEGREE MURDER,39-13-210,Felony B,07/16/2019
536,C2002275,1,CRIMINAL ATTEMPT-SECOND DEGREE MURDER,39-13-210,Felony B,07/16/2019
537,C1902470,1,AGGRAVATED RAPE,39-13-502,Felony A,03/06/2007
538,C2005365,1,POSSESSION OF DRUG PARAPHERNALIA,39-17-425,Misdemeanor A,07/22/2019
539,C2100704,1,STATUTORY RAPE,39-13-506,Felony E,07/16/2020
540,C1706267,1,CRIMINAL ATTEMPT-FIRST DEGREE MURDER,39-13-202,Felony A,04/21/2017
541,C1706267,2,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,04/21/2017
542,C2101213,1,UNLAWFUL CARRYING OR POSSESSION OF A WEAPON,39-17-1307,Felony B,09/18/2020
543,16 04632-16630215,1,AGGRAVATED BURGLARY,39-14-403,Felony C,08/22/2016
544,16 04632-16630215,2,EVADING ARREST,39-16-603,Misdemeanor A,08/22/2016
545,C1708334,1,FIRST DEGREE MURDER,39-13-202,Felony M,08/24/2016
546,C1708334,2,ESPECIALLY AGGRAVATED ROBBERY,39-13-403,Felony A,08/24/2016
547,C1708334,3,CARJACKING,39-13-404,Felony B,08/24/2016
548,C1708334,4,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,08/24/2016
549,C2102418,1,THEFT OF PROPERTY $10000-$60000,39-14-103,Felony C,07/21/2020
550,C2003600,1,POSS MARIJUANA W/I MAN/DEL/SELL,39-17-417,Felony E,12/23/2019
551,C2003600,2,POSS MARIJUANA W/I MAN/DEL/SELL,39-17-417,Felony E,12/23/2019
552,C2003600,3,POSSESSION OF DRUG PARAPHERNALIA,39-17-425,Misdemeanor A,12/23/2019
553,C1707171,1,CRIMINAL ATTEMPT-SECOND DEGREE MURDER,39-13-210,Felony B,11/14/2016
554,C1707171,2,ESPECIALLY AGGRAVATED ROBBERY,39-13-403,Felony A,11/14/2016
555,C1707171,3,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,11/14/2016
556,C1907486,1,AGGRAVATED BURGLARY,39-14-403,Felony C,04/24/2019
557,C2003631,1,POSS MARIJUANA W/I MAN/DEL/SELL,39-17-417,Felony E,12/23/2019
558,C2003631,2,POSS MARIJUANA W/I MAN/DEL/SELL,39-17-417,Felony E,12/23/2019
559,C2003631,3,POSSESSION OF DRUG PARAPHERNALIA,39-17-425,Misdemeanor A,12/23/2019
560,C1904297,1,FIRST DEGREE MURDER,39-13-202,Felony M,11/14/2016
561,C1904297,2,ESPECIALLY AGGRAVATED ROBBERY,39-13-403,Felony A,11/14/2016
562,C2003632,1,FAIL TO APPEAR IN A FELONY CASE,39-16-609,Felony E,03/06/2020
563,C2100786,1,POSS CONT SUB W/I MAN/DEL/SELL,39-17-417,Felony B,03/18/2020
564,C2100786,2,POSS CONT SUB W/I MAN/DEL/SELL,39-17-417,Felony B,03/18/2020
565,C2100786,3,POSS CONT SUB W/I MAN/DEL/SELL,39-17-417,Felony C,03/18/2020
566,C2100786,4,POSS CONT SUB W/I MAN/DEL/SELL,39-17-417,Felony C,03/18/2020
567,C2100786,5,POSS CONT SUB W/I MAN/DEL/SELL,39-17-417,Felony C,03/18/2020
568,C2100786,6,POSS CONT SUB W/I MAN/DEL/SELL,39-17-417,Felony C,03/18/2020
569,C2103311,1,RAPE,39-13-503,Felony B,05/02/2021
570,C2103311,2,RAPE,39-13-503,Felony B,05/02/2021
571,C1700973,1,ROBBERY,39-13-401,Felony C,09/14/2016
572,C1700973,101,PETITION TO REVOKE SUSP SENTENCE,40-35-311,Civil-Petition,10/18/2019
573,C1700973,102,PETITION TO SUSPEND REM OF SENTENCE,40-21-103,Civil Ordinances,07/14/2020
574,C1700973,103,PETITION TO SUSPEND REM OF SENTENCE,40-21-103,Civil Ordinances,03/02/2021
575,C1700973,104,PETITION TO REVOKE SUSP SENTENCE,40-35-311,Civil-Petition,08/18/2021
576,C1809687,1,THEFT OF PROPERTY $10000-$60000,39-14-103,Felony C,01/31/2017
